CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe ns3Visualizer.py
MEM 3764.082031 1683207456.4310
MEM 3805.519531 1683207456.5430
MEM 3844.164062 1683207456.6520
MEM 3884.566406 1683207456.7610
MEM 3925.355469 1683207456.8710
MEM 3965.914062 1683207456.9810
MEM 4007.007812 1683207457.0927
MEM 4048.000000 1683207457.2047
MEM 4089.496094 1683207457.3167
MEM 4128.843750 1683207457.4237
MEM 4169.816406 1683207457.5337
MEM 4211.273438 1683207457.6447
MEM 4252.710938 1683207457.7587
MEM 4294.304688 1683207457.8697
MEM 4333.773438 1683207457.9808
MEM 4375.082031 1683207458.0928
MEM 4416.671875 1683207458.2048
MEM 4457.285156 1683207458.3168
MEM 4498.601562 1683207458.4258
MEM 4539.023438 1683207458.5378
MEM 4584.105469 1683207458.6568
MEM 4623.855469 1683207458.7648
MEM 4665.023438 1683207458.8768
MEM 4668.312500 1683207458.9888
MEM 4668.312500 1683207459.0998
MEM 4668.312500 1683207459.2088
MEM 4668.312500 1683207459.3168
MEM 4668.312500 1683207459.4288
MEM 4668.312500 1683207459.5388
MEM 4668.312500 1683207459.6498
MEM 4668.312500 1683207459.7588
MEM 4668.312500 1683207459.8708
MEM 4668.312500 1683207459.9828
MEM 4668.312500 1683207460.0948
MEM 4668.312500 1683207460.2080
MEM 4668.312500 1683207460.3150
MEM 4668.312500 1683207460.4250
MEM 4668.312500 1683207460.5350
MEM 4706.667969 1683207460.6440
MEM 4747.871094 1683207460.7580
MEM 4789.632812 1683207460.8700
MEM 4830.839844 1683207460.9790
MEM 4869.847656 1683207461.0890
MEM 4910.824219 1683207461.1990
MEM 4952.175781 1683207461.3110
MEM 4993.640625 1683207461.4230
MEM 5034.183594 1683207461.5330
MEM 5075.347656 1683207461.6450
MEM 5113.664062 1683207461.7560
MEM 5153.894531 1683207461.8645
MEM 5195.292969 1683207461.9795
MEM 5236.742188 1683207462.0909
MEM 5277.550781 1683207462.2009
MEM 5318.082031 1683207462.3079
MEM 5359.816406 1683207462.4199
MEM 5401.246094 1683207462.5319
MEM 5440.531250 1683207462.6445
MEM 5482.023438 1683207462.7575
MEM 5522.968750 1683207462.8645
MEM 5564.070312 1683207462.9760
MEM 5604.757812 1683207463.0880
MEM 5645.410156 1683207463.1980
MEM 5686.636719 1683207463.3070
MEM 5727.753906 1683207463.4180
MEM 5769.273438 1683207463.5320
MEM 5809.972656 1683207463.6410
MEM 5819.308594 1683207463.7530
MEM 5819.308594 1683207463.8600
MEM 5819.308594 1683207463.9719
MEM 5819.308594 1683207464.0809
MEM 5819.308594 1683207464.1919
MEM 5819.308594 1683207464.3000
MEM 5819.308594 1683207464.4100
MEM 5819.308594 1683207464.5220
MEM 5819.308594 1683207464.6350
MEM 5819.308594 1683207464.7460
MEM 5819.308594 1683207464.8560
MEM 5819.308594 1683207464.9670
MEM 5819.308594 1683207465.0790
MEM 5819.308594 1683207465.1860
MEM 5819.308594 1683207465.2970
MEM 5819.308594 1683207465.4070
MEM 5819.308594 1683207465.5160
MEM 5819.296875 1683207465.6270
MEM 5826.777344 1683207465.7355
MEM 5867.835938 1683207465.8465
MEM 5908.796875 1683207465.9569
MEM 5948.710938 1683207466.0648
MEM 5989.894531 1683207466.1748
MEM 6030.453125 1683207466.2838
MEM 6071.132812 1683207466.3928
MEM 6110.691406 1683207466.5048
MEM 6151.835938 1683207466.6178
MEM 6192.132812 1683207466.7268
MEM 6232.996094 1683207466.8368
MEM 6274.386719 1683207466.9478
MEM 6315.613281 1683207467.0588
MEM 6356.453125 1683207467.1688
MEM 6397.386719 1683207467.2798
MEM 6438.386719 1683207467.3888
MEM 6479.722656 1683207467.5009
MEM 6520.445312 1683207467.6144
MEM 6561.441406 1683207467.7244
MEM 6598.687500 1683207467.8354
MEM 6639.187500 1683207467.9444
MEM 6680.203125 1683207468.0569
MEM 6721.078125 1683207468.1669
MEM 6761.421875 1683207468.2776
MEM 6801.863281 1683207468.3876
MEM 6841.640625 1683207468.4976
MEM 6879.816406 1683207468.6076
MEM 6920.902344 1683207468.7207
MEM 6961.746094 1683207468.8317
MEM 7002.750000 1683207468.9417
MEM 7044.011719 1683207469.0537
MEM 7083.660156 1683207469.1617
MEM 7124.171875 1683207469.2717
MEM 7164.968750 1683207469.3832
MEM 7205.871094 1683207469.4922
MEM 7247.406250 1683207469.6062
MEM 7257.699219 1683207469.7172
MEM 7257.699219 1683207469.8272
MEM 7257.699219 1683207469.9372
MEM 7257.699219 1683207470.0472
MEM 7257.699219 1683207470.1542
MEM 7257.699219 1683207470.2678
MEM 7257.699219 1683207470.3778
MEM 7257.699219 1683207470.4878
MEM 7257.699219 1683207470.5978
MEM 7257.699219 1683207470.7058
MEM 7257.699219 1683207470.8188
MEM 7257.699219 1683207470.9278
